Animal,time,worngarea,majorl,minl,ecc,convex,circula,rightarea,perimeter
1073,1.2,1306,67.70941747,25.7236617,0.925022382,1444,0.699145356,23.101834,5.42485833
1073,1.2,1337,71.60811967,24.93258709,0.937427324,1463,0.657094826,23.650193,5.488864582
1073,1.2,1119,56.9885437,25.54537972,0.893905906,1171,0.777924982,19.793991,5.021481371
1073,2.1,891,46.28707615,24.74361265,0.845125153,914,0.881832667,15.760899,4.480801083
1073,2.1,730,46.90067236,20.48495592,0.899571669,773,0.755277387,12.91297,4.055815986
1073,2.1,1079,77.94568687,20.02996913,0.966418473,1291,0.508861297,19.086431,4.930915213
1073,2.1,1457,84.70775682,23.47404753,0.960835882,1583,0.539376644,25.772873,5.729894009
1073,2.2,820,61.69052952,18.60498003,0.953439081,908,0.567188873,14.50498,4.298567381
1073,2.2,696,48.6834235,18.62584575,0.923917762,733,0.721290748,12.311544,3.960239329
1073,2.2,657,51.36221164,17.00270468,0.943618374,727,0.628931117,11.621673,3.847684886
1073,2.2,761,55.83405307,17.95059506,0.946909901,815,0.639804148,13.461329,4.141037287
1073,3.1,715,53.88081776,17.50827699,0.945733077,757,0.658060625,12.647635,4.013930361
1073,3.1,1014,67.09535406,20.62669429,0.951572771,1157,0.60597946,17.936646,4.780086879
1073,3.1,708,52.11400942,19.50366973,0.927327835,831,0.60041981,12.523812,3.994233423
1073,3.1,1225,71.59167059,23.97738104,0.94224707,1393,0.609084234,21.669025,5.253936953
1073,3.2,667,53.75588515,16.52164443,0.951597904,720,0.6211658,11.798563,3.876856531
1073,3.2,557,50.06641286,14.8328496,0.955106251,601,0.627274465,9.852773,3.542781843
1073,3.2,899,68.52439603,17.51259463,0.966791269,981,0.531600744,15.902411,4.500871961
1073,3.2,914,79.69985898,16.79396,0.977547526,1145,0.431046548,16.167746,4.538265613
1073,4.1,979,60.87901019,21.85380457,0.933348679,1073,0.637383012,17.317531,4.696865875
1073,4.1,1092,78.76787214,20.45008847,0.96570958,1292,0.465356393,19.316388,4.960530586
1073,4.1,1242,77.53634298,22.08915915,0.958560866,1381,0.547093904,21.969738,5.290267232
1073,4.1,876,69.24185357,18.25581983,0.964617601,1037,0.529774076,15.495564,4.442923809
1073,4.2,984,67.3900316,20.45005337,0.952844772,1127,0.569066283,17.405976,4.708844639
1073,4.2,1327,76.66600985,23.76303076,0.950751153,1475,0.58961462,23.473303,5.468299262
1073,4.2,1310,71.31933628,26.03655234,0.93098006,1453,0.591087477,23.17259,5.433159572
1073,4.2,1009,69.62021347,20.66344176,0.954938938,1173,0.552063645,17.848201,4.768287091
1073,5.1,1517,87.46404096,24.33667999,0.960509314,1771,0.543911297,26.834213,5.846683746
1073,5.1,1728,104.5478004,26.73346026,0.966754692,2270,0.410689137,30.566592,6.240058794
1073,5.1,1098,81.16458966,19.99836367,0.969170073,1328,0.481073051,19.422522,4.974139749
1073,5.1,1572,103.8248735,21.66037661,0.97799589,1914,0.435496592,27.807108,5.951728112
1073,5.2,1571,84.21372971,25.65280524,0.952475413,1746,0.591625435,17.320275,4.697237974
1073,5.2,1329,78.97454804,23.03932377,0.956500405,1523,0.573902201,14.652225,4.320330401
1073,5.2,2340,81.25332579,37.71400086,0.885754874,2461,0.744970847,25.7985,5.732742032
1073,5.2,954,67.81895591,19.17654199,0.959190457,1058,0.5707759,10.51785,3.660400939
1073,6.1,1386,75.53316194,24.8150847,0.94449273,1535,0.626685709,15.28065,4.412005913
1073,6.1,1557,92.49892819,23.82944874,0.966246673,1880,0.511980979,17.165925,4.676261368
1073,6.1,1451,84.91227245,22.93652713,0.962826585,1607,0.574856163,15.997275,4.514276716
